804 19999 
1124 20422 
0 0.999999900
2  
16000 20000 
16000 20000 
6 1688 12962 
6 1670 12653 
6 1564 19403 
6 1505 18905 
6 1526 18273 
6 1224 17653 
6 1095 17104 
6 618 16729 
6 2350 16104 
6 2244 15799 
6 1431 15557 
6 1354 14643 
6 972 13934 
6 1454 12512 
6 665 11986 
6 750 11392 
6 617 10359 
6 608 9567 
6 731 8909 
6 1474 8421 
7 1090 19707 
7 1256 1466 
7 1099 1822 
7 1063 1600 
7 1319 4337 
7 877 8832 
7 1092 8577 
7 1225 12902 
7 1382 12906 
7 1492 12914 
7 1242 16810 
7 1489 16829 
7 1329 16960 
7 1429 18017 
7 1291 18216 
7 1081 18324 
7 1343 19012 
7 1045 18955 
7 1327 15097 
7 1447 14495 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
8 1889 3794 
8 1915 5654 
8 847 9594 
8 1724 13281 
8 1523 15013 
8 1737 16689 
8 1290 16398 
8 1197 7461 
8 1640 2650 
8 1504 1975 
8 1139 732 
8 727 5465 
8 991 5976 
8 1118 8292 
8 1126 11162 
8 676 12186 
8 1885 14516 
8 2139 15859 
8 1396 15792 
8 1105 17937 
7 1406 42 
7 1401 20023 
7 1570 7320 
7 1427 6312 
7 614 5288 
7 1528 3835 
7 1439 3103 
7 1407 1853 
7 1407 755 
7 615 5173 
-1 -10 -10 
-1 622 5651 
-1 1426 5646 
-1 620 6122 
-1 1609 13970 
-1 1423 18598 
-1 1578 16787 
-1 1480 16287 
-1 846 15704 
-1 1603 14957 
6 2254 15102 
6 1078 1118 
6 900 1811 
6 1393 3668 
6 1448 5026 
6 1441 5128 
6 1350 6295 
6 1253 6111 
6 1132 8717 
6 1176 9004 
6 897 10397 
6 1902 16036 
6 1081 18659 
6 1241 18382 
6 1098 17578 
6 1129 15802 
6 1300 15533 
6 1857 14000 
6 1089 13123 
6 1084 11346 
6 1042 11168 
6 1022 10850 
6 199 9673 
6 872 9292 
6 1098 9449 
7 1288 19711 
7 1336 1243 
7 1055 1528 
7 1474 1725 
7 1258 2315 
7 1533 3501 
7 1529 4970 
7 1325 5224 
7 1349 6141 
7 1286 6029 
7 1209 8832 
7 744 10189 
7 1169 12639 
7 2153 16250 
7 1320 18824 
7 1341 18451 
8 1263 17741 
8 1328 15929 
8 1512 15627 
8 1613 14373 
8 1634 13887 
8 1413 13316 
8 726 11318 
8 334 11800 
8 925 10825 
8 1216 429 
8 1445 2445 
8 1564 11041 
8 1219 12491 
8 1579 18394 
8 1360 16846 
8 1537 13147 
8 1340 13089 
8 812 10497 
8 919 10693 
8 1081 9272 
8 874 9460 
8 1023 6967 
8 1284 7202 
8 1103 6544 
8 1322 6793 
8 1634 4581 
8 929 2684 
8 1296 1000 
8 1195 107 
8 1037 109 
8 920 3317 
8 1475 3314 
8 960 5372 
8 901 5543 
6 1434 19909 
6 874 19805 
6 1062 204 
6 1287 264 
6 1094 339 
6 1214 264 
6 1423 2018 
6 1408 2973 
6 1072 11961 
6 1258 17301 
6 933 15280 
6 918 15156 
6 1428 13602 
6 1223 13362 
6 1091 7714 
6 1303 7820 
6 1318 6593 
6 1086 6801 
6 1607 4787 
6 1229 4209 
6 1550 4866 
6 1528 2870 
6 1051 2298 
6 1195 2555 
6 1587 14877 
