804 19999 
1124 20422 
0 0.999500
2  
1600 20000 
1600 20000 
0 1688 12962 
0 1670 12653 
0 1564 19403 
0 1505 18905 
0 1526 18273 
0 1224 17653 
0 1095 17104 
0 618 16729 
0 2350 16104 
0 2244 15799 
0 1431 15557 
0 1354 14643 
0 972 13934 
0 1454 12512 
0 665 11986 
0 750 11392 
0 617 10359 
0 608 9567 
0 731 8909 
0 1474 8421 
1 1090 19707 
1 1256 1466 
1 1099 1822 
1 1063 1600 
1 1319 4337 
1 877 8832 
1 1092 8577 
1 1225 12902 
1 1382 12906 
1 1492 12914 
1 1242 16810 
1 1489 16829 
1 1329 16960 
1 1429 18017 
1 1291 18216 
1 1081 18324 
1 1343 19012 
1 1045 18955 
1 1327 15097 
1 1447 14495 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
-1 -10 -10 
3 1889 3794 
3 1915 5654 
3 847 9594 
3 1724 13281 
3 1523 15013 
3 1737 16689 
3 1290 16398 
3 1197 7461 
3 1640 2650 
3 1504 1975 
3 1139 732 
3 727 5465 
3 991 5976 
3 1118 8292 
3 1126 11162 
3 676 12186 
3 1885 14516 
3 2139 15859 
3 1396 15792 
3 1105 17937 
4 1406 42 
4 1401 20023 
4 1570 7320 
4 1424 6312 
4 614 5288 
4 1528 3835 
4 1439 3103 
4 1407 1853 
4 1407 755 
4 615 5173 
5 -10 -10 
5 622 5651 
5 1426 5646 
5 620 6122 
5 1609 13970 
5 1423 18598 
5 1578 16787 
5 1480 16287 
5 846 15704 
5 1603 14957 
6 2254 15102 
6 1078 1118 
6 900 1811 
6 1393 3668 
6 1448 5026 
6 1441 5128 
6 1350 6295 
6 1253 6111 
6 1132 8717 
6 1176 9004 
6 897 10397 
6 1902 16036 
6 1081 18659 
6 1241 18382 
6 1098 17578 
6 1129 15802 
6 1300 15533 
6 1857 14000 
6 1089 13123 
6 1084 11346 
6 1042 11168 
6 1022 10850 
6 199 9673 
6 872 9292 
6 1098 9449 
7 1288 19711 
7 1336 1243 
7 1055 1528 
7 1474 1725 
7 1258 2315 
7 1533 3501 
7 1529 4970 
7 1325 5224 
7 1349 6141 
7 1286 6029 
7 1209 8832 
7 744 10189 
7 1169 12639 
7 2153 16250 
7 1320 18824 
7 1341 18451 
7 1263 17741 
7 1328 15929 
7 1512 15627 
7 1613 14373 
7 1634 13887 
7 1413 13316 
7 726 11318 
7 334 11800 
7 925 10825 
8 1216 429 
8 1445 2445 
8 1564 11041 
8 1219 12491 
8 1579 18394 
8 1360 16846 
8 1537 13147 
8 1340 13089 
8 812 10497 
8 919 10693 
8 1081 9272 
8 874 9460 
8 1023 6967 
8 1284 7202 
8 1103 6544 
8 1322 6793 
8 1634 4581 
8 929 2684 
8 1296 1000 
8 1195 107 
8 1037 109 
8 920 3317 
8 1475 3314 
8 960 5372 
8 901 5543 
9 1434 19909 
9 874 19805 
9 1062 204 
9 1288 264 
9 1094 339 
9 1214 264 
9 1423 2018 
9 1408 2973 
9 1072 11961 
9 1258 17301 
9 933 15280 
9 918 15156 
9 1428 13602 
9 1223 13362 
9 1091 7714 
9 1303 7820 
9 1318 6593 
9 1086 6801 
9 1607 4787 
9 1229 4209 
9 1550 4866 
9 1528 2870 
9 1051 2298 
9 1195 2555 
10 1587 14877 
