0 600
200 700 
0 0.999500
2  
20000 1600 
20000 1600 
0 1999 1083 
0 2178 1094 
0 2347 1099 
0 5407 979 
0 5342 1121 
0 7920 815 
0 8074 1173 
0 8548 850 
0 8634 1107 
0 9130 868 
0 9030 956 
0 9076 1090 
0 9220 1186 
0 14384 814 
0 14473 742 
0 14563 685 
0 14693 621 
0 16294 856 
0 16268 1229 
0 15946 1107 
1 1183 792 
1 2645 812 
1 2661 1017 
1 3365 985 
1 4877 1085 
1 5078 771 
1 9122 959 
1 9156 1116 
1 14494 1197 
1 14500 1302 
1 16875 1204 
1 17113 942 
1 20366 791 
1 20243 913 
1 20266 1100 
1 20410 1219 
1 19760 1209 
1 17840 1170 
1 18187 893 
1 18607 1144 
2 836 1006 
2 1092 1014 
2 6153 1198 
2 6986 675 
2 7511 688 
2 7828 1146 
2 8166 899 
2 15270 942 
2 16081 816 
2 16171 1045 
2 19616 1034 
2 19510 776 
2 18660 817 
2 18987 1177 
2 19104 851 
2 17901 863 
2 18162 1197 
2 17415 871 
2 17294 1195 
2 13402 931 
3 14883 865 
3 14703 940 
3 15729 777 
3 17081 1057 
3 17766 800 
3 18423 1075 
3 19093 802 
3 19634 1125 
3 19999 792 
3 12897 1032 
3 11574 812 
3 9200 1028 
3 9326 1026 
3 8335 1128 
3 7817 965 
3 7229 1119 
3 6365 878 
3 6354 1081 
3 5773 908 
3 5300 1117 
4 578 1161 
4 857 645 
4 3895 772 
4 9966 1106 
4 10657 605 
4 11272 611 
4 15175 1040 
4 15235 754 
4 15241 1212 
4 12432 686 
5 100 100 
5 3448 1098 
5 4127 542 
5 10919 1164 
5 11375 1172 
5 12072 1172 
5 12615 1180 
5 13538 1180 
5 14256 841 
5 14355 949 
6 473 846 
6 905 847 
6 1744 750 
6 2140 964 
6 2891 736 
6 3204 947 
6 3771 778 
6 4275 994 
6 4667 774 
6 5337 929 
6 5872 766 
6 6169 970 
6 6772 772 
6 7289 975 
6 7870 846 
6 8512 1012 
6 8882 776 
6 9597 991 
6 9344 909 
6 9429 1013 
6 9400 1184 
6 10002 903 
6 10551 1140 
6 11059 922 
6 11609 1078 
7 11780 1220 
7 12028 826 
7 12634 809 
7 13172 1038 
7 13671 832 
7 14191 1218 
7 14814 1085 
7 15136 1244 
7 15699 1079 
7 15990 1244 
7 16410 1123 
7 16833 1217 
7 17333 1013 
7 17699 1191 
7 18275 1206 
7 18626 1004 
7 19050 1186 
7 19582 1022 
7 19999 1009 
7 19999 1185 
7 20470 940 
7 20512 1219 
7 19001 998 
7 17946 1006 
7 16140 1034 
8 14659 1164 
8 10626 1230 
8 10117 1102 
8 9739 1199 
8 9729 897 
8 9578 1176 
8 8813 906 
8 8859 1119 
8 7906 1014 
8 7492 1091 
8 6924 879 
8 6582 1070 
8 5720 1020 
8 5252 871 
8 4794 1034 
8 4433 1105 
8 4082 915 
8 3833 1079 
8 3397 864 
8 3070 1097 
8 2448 977 
8 2468 1146 
8 1784 867 
8 1682 1103 
8 1269 940 
9 1067 1132 
9 2579 791 
9 3407 1066 
9 3972 934 
9 5018 893 
9 5718 1118 
9 6114 964 
9 6998 1139 
9 7479 885 
9 8396 1052 
9 9282 923 
9 9287 1113 
9 10111 1018 
9 10934 1043 
9 11364 856 
9 11910 1047 
9 12553 970 
9 13115 854 
9 13490 1062 
9 14036 803 
9 14309 1012 
9 14537 901 
9 14598 812 
9 14684 764 
10 2341 497 
