0 224 
0 529 
0 0.999500 
20  
20000 1200 
20000 600 
0 652 169 
0 779 370 
0 785 604 
0 679 919 
0 1406 787 
0 1665 1056 
0 1963 185 
0 3120 914 
0 3387 640 
0 3961 260 
0 4550 787 
0 4667 999 
0 5284 927 
0 5472 806 
0 5964 271 
0 20305 124 
0 20325 222 
0 20315 334 
0 20335 734 
0 20342 849 
0 20345 1014 
0 19111 250 
0 18984 961 
0 17622 1015 
0 17621 227 
0 16183 1013 
0 16168 197 
0 15382 375 
0 14635 772 
0 14603 949 
0 13808 847 
0 13526 230 
0 12414 773 
0 12104 204 
0 10856 829 
0 10099 982 
0 9125 226 
0 9031 377 
0 8226 816 
0 6812 980 
1 2283 888 
1 2563 392 
1 3865 906 
1 4516 180 
1 5205 228 
1 6011 906 
1 6538 167 
1 7287 504 
1 7918 956 
1 8295 243 
1 9090 832 
1 9858 242 
1 14702 252 
1 20619 404 
1 18558 845 
1 17087 937 
1 15960 748 
1 15349 882 
1 14875 640 
1 14066 831 
2 1422 240 
2 3395 337 
2 4922 208 
2 6213 571 
2 7434 118 
2 9479 465 
2 10536 283 
2 11657 98 
2 12888 376 
2 15287 145 
2 19676 786 
2 18219 651 
2 17573 687 
2 16605 1054 
2 15764 1154 
2 15051 879 
2 12974 755 
2 11792 984 
2 10183 772 
2 7165 869 
3 1756 632 
3 3655 144 
3 5696 1052 
3 8016 574 
3 10034 95 
3 11930 881 
3 13164 219 
3 14767 547 
3 16991 237 
3 18739 544 
6 1699 287 
6 2697 220 
6 4207 378 
6 5159 499 
6 6268 120 
6 7932 196 
6 9447 207 
6 10998 76 
6 12253 329 
6 13871 145 
6 14994 330 
6 16350 66 
6 18376 127 
6 18809 373 
6 20460 874 
6 19016 1072 
6 17825 813 
6 16714 601 
6 15494 611 
6 14036 1018 
6 12781 920 
6 11877 731 
6 11126 1061 
6 9905 712 
6 8220 993 
7 1821 154 
7 3270 229 
7 5112 98 
7 6656 336 
7 8679 262 
7 10632 136 
7 12960 79 
7 14630 366 
7 16710 377 
7 19659 71 
7 20176 575 
7 19069 560 
7 18067 966 
7 16458 862 
7 15453 1011 
7 13645 1044 
7 12267 913 
7 11279 633 
7 10415 669 
7 9231 1075 
7 7650 1094 
7 7174 702 
7 6237 745 
7 6146 1046 
7 6330 876 
8 6489 885 
8 8022 850 
8 8930 755 
8 11102 772 
8 13480 779 
8 15725 825 
8 16816 997 
8 17723 582 
8 18707 746 
8 19817 938 
8 20503 160 
8 19326 232 
8 18445 497 
8 17374 418 
8 15978 240 
8 15445 169 
8 13802 593 
8 12306 157 
8 9591 342 
8 6856 444 
8 4674 423 
8 3719 581 
8 2984 286 
8 1917 332 
8 854 504 
4 19877 479 
4 17995 679 
4 16758 175 
4 14285 473 
4 12856 557 
4 10950 542 
4 8532 592 
4 6926 236 
4 5700 657 
4 1682 441 
5 211 211 
5 1225 597 
5 3415 964 
5 6812 694 
5 9573 820 
5 11666 577 
5 13341 840 
5 15306 621 
5 16427 613 
5 17965 267 
9 6649 802 
9 6755 920 
9 9416 1106 
9 13044 886 
9 16149 751 
9 17710 1089 
9 20612 1006 
9 18926 40 
9 12482 161 
9 12434 282 
9 12567 301 
9 8192 226 
9 5631 113 
9 4041 71 
10 10462 1142 
