0 649 
204 825 
0 0.999500 
2  
12500 1600 
12500 1600
10 2341 897   
1 1183 792 
1 2645 812 
1 2661 1017 
1 3365 985 
1 4877 1085 
1 5078 771 
1 9122 959 
1 9156 1116 
1 14494 1197 
1 14500 1302 
1 16875 1204 
1 17113 942 
1 20366 791 
1 20243 913 
1 20266 1100 
1 20410 1219 
1 19760 1209 
1 17840 1170 
1 18187 893 
1 18607 1144 
2 836 1006 
2 1092 1014 
2 6153 1198 
2 6986 675 
2 7511 688 
2 7828 1146 
2 8166 899 
2 15270 942 
2 16081 816 
2 16171 1045 
2 19616 1034 
2 19510 776 
2 18660 817 
2 18987 1177 
2 19104 851 
2 17901 863 
2 18162 1197 
2 17415 871 
2 17294 1195 
2 13402 931 
3 0 600  
3 800 600 
3 1600 600 
3 2400 600
3 3200 600 
3 4000 600 
3 4800 600 
3 5600 600 
3 6400 600 
3 7200 600 
3 8000 600 
3 8800 600 
3 9600 600 
3 10400 600 
3 11200 600 
3 12000 600 
3 12800 600 
3 13600 600 
3 14400 600 
3 12500 600 
4 0 1100 
4 800 1100 
4 1600 1100 
4 2400 1100
4 3200 1100 
4 4000 1100 
4 4800 1100 
4 5600 1100 
4 6400 1100 
4 7200 1100 
4 8000 1100 
4 8800 1100 
4 9600 1100 
4 10400 1100 
4 11200 1100 
4 12000 1100 
4 12800 1100 
4 13600 1100 
4 14400 1100 
4 12500 1100 
5 3448 1098 
5 4127 542 
5 10919 1164 
5 11375 1172 
5 12072 1172 
5 12615 1180 
6 473 846 
6 905 847 
6 500 899
6 1420 912
6 1744 750 
6 2140 964 
6 2891 736 
6 3204 947 
6 3771 778 
6 4275 994 
6 4667 774 
6 5337 929 
6 5872 766 
6 6169 970 
6 6772 772 
6 7289 975 
6 7870 846 
6 8512 1012 
6 8882 776 
6 9597 991 
6 9344 909 
6 9429 1013 
6 9400 1184 
6 10002 903 
6 10551 1140 
6 11059 922 
6 11609 1078 
7 11780 1220 
7 12028 826 
7 12634 809 
7 13172 1038 
7 13671 832 
7 14191 1218 
7 14814 1085 
7 15136 1244 
8 14659 1164 
8 10626 1230 
8 10117 1102 
8 9739 1199 
8 9729 897 
8 9578 1176 
8 8813 906 
8 8859 1119 
8 7906 1014 
8 7492 1091 
8 6924 879 
8 6582 1070 
8 5720 1020 
8 5252 871 
8 4794 1034 
8 4433 1105 
8 4082 915 
8 3833 1079 
8 3397 864 
8 3070 1097 
8 2448 977 
8 2468 1146 
8 1784 867 
8 1682 1003 
8 1269 940 
9 1067 1032 
9 2579 791 
9 3407 1066 
9 3972 934 
9 5018 893 
9 5718 1018 
9 6114 964 
9 6998 1039 
9 7479 885 
9 8396 1052 
9 9282 923 
9 9287 1013 
9 10111 1018 
9 10934 1043 
9 11364 856 
9 11910 1047 
9 12553 970 
9 13115 854 
9 13490 1062 
9 14036 803 
9 14309 1012 
9 14537 901 
9 14598 812 
9 14684 764 
9 1999 1083 
9 2178 1094 
9 2347 1099 
9 5407 979 
9 5342 1121 
9 7920 815 
9 8074 1173 
9 8548 850 
9 8634 1107 
9 9130 868 
9 9030 956 
9 9076 1090 
9 9220 1186 
9 14384 814 
9 14473 742 
9 14563 685 
9 14693 621 
9 16294 856 
9 16268 829 
9 15946 1107

