3236 0 
3288 221 
0 0.999500 
0  
6400 600 
6400 100 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
9 3776 161 
9 3809 298 
9 3958 166 
9 3978 337 
9 4206 154 
9 4263 352 
9 4394 154 
9 4406 290 
9 4548 418 
9 4687 206 
9 4603 163 
9 4709 343 
9 4886 150 
9 4912 279 
9 5081 423 
9 5178 191 
9 5255 352 
9 6815 173 
9 6530 261 
9 5998 203 
9 5934 460 
9 5733 227 
9 5487 176 
9 5422 378 
9 5661 150 
6 5068 212 
6 4852 224 
6 3619 323 
6 3075 102 
6 2868 79 
6 2781 19 
6 2813 475 
6 3032 531 
6 3183 316 
6 2359 304 
6 2210 479 
6 1999 250 
6 1055 235 
6 977 431 
6 362 139 
6 143 357 
6 426 459 
6 496 146 
6 1355 65 
6 1534 271 
6 1673 101 
6 3534 58 
6 3768 97 
6 3691 223 
6 3693 422 
9 2943 183 
9 2896 338 
9 2750 245 
9 2683 364 
9 2433 160 
9 2175 346 
9 2106 167 
9 2017 352 
9 1885 135 
9 1786 362 
9 1725 215 
9 1632 382 
9 1614 174 
9 1460 320 
9 1410 425 
9 1416 197 
9 1525 135 
9 1299 242 
9 606 238 
9 805 342 
9 134 209 
9 266 343 
9 889 173 
9 1101 376 
9 1187 183 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
6 3663 167 
6 3869 390 
6 4115 222 
6 4174 373 
6 4337 189 
6 4881 399 
6 5330 195 
6 5539 355 
6 5646 275 
6 6033 361 
6 6205 206 
6 6308 392 
6 6662 222 
6 6885 352 
0 0 0 
